participant_number,group,cq_1_h,cq_2_s_f,tn_products,n_categories,k_p_1,k_p_2,k_p_3,k_p_4,k_p_5,k_p_6,k_p_7,k_p_8,t_t_condition,t_t_A_1,t_t_A_2,t_t_A_3,t_t_A_4,t_t_A_5,t_t_A_w_p,t_t_B_1,t_t_B_2,t_t_B_3,t_t_B_4,t_t_B_5,t_t_B_w_p,t_t_d,m_q_1,m_q_2,s_s_d,s_t_d,gender,age,f_o_s,n_o_t,n_l,m_k,filter,distance_MC,kimchi_glob1,kimchi_glob2,kimchi_glob3,kimchi_glob4,kimchi_glob5,kimchi_glob6,kimchi_glob7,kimchi_glob8,kimchi_sum,toaster_a_evaluation,toaster_b_evaluation,toaster_diff_WTP,toaster45_rating1,toaster25_rating1,toaster45_rating2,toaster45_rating3,toaster45_rating4,toaster45_rating5,toaster25_rating2,toaster25_rating3,toaster25_rating4,toaster25_rating5,toaster45_mean,toaster25_mean,toaster_45_wtp,toaster_25_wtp,choice_toaster,diff_toaster
1,1,1,6,7,8,1,1,1,1,1,1,1,1,2,4,4,5,5,5,15,4,3,5,5,4,15,1,6,3,2,2,1,23,1,6,1,1,1,2,1,1,1,1,1,1,1,1,8,4.6,4.2,0,4,4,3,5,5,4,4,5,5,5,4.2,4.6,15,15,2,-0.4
2,1,1,4,7,8,2,1,1,1,1,1,2,1,3,6,6,5,6,5,30,2,1,1,1,2,19,1,6,3,2,1,2,23,1,4,1,2,1,1.5,0,1,1,1,1,1,0,1,6,5.6,1.4,11,6,2,6,5,6,5,1,1,1,2,5.6,1.4,30,19,1,4.2
3,5,4,7,10,7,1,1,1,1,1,1,1,1,2,4,2,2,2,3,20,6,6,6,5,6,30,2,6,5,4,4,2,29,1,2,2,1,1,4,1,1,1,1,1,1,1,1,8,2.6,5.8,10,6,4,6,6,5,6,2,2,2,3,5.8,2.6,30,20,1,3.2
4,1,1,4,20,9,2,2,2,2,1,1,1,1,2,6,5,6,6,5,30,5,4,5,5,4,20,1,5,3,4,1,2,23,1,8,1,2,1,2.5,0,0,0,0,1,1,1,1,4,5.6,4.6,-10,5,6,4,5,5,4,5,6,6,5,4.6,5.6,20,30,2,-1
5,5,1,2,9,6,1,2,1,1,1,1,1,1,3,5,4,5,4,4,666,2,3,3,3,3,7,1,5,3,4,4,2,25,1,2,1,2,1,4,1,0,1,1,1,1,1,1,7,4.4,2.8,,5,2,4,5,4,4,3,3,3,3,4.4,2.8,,7,1,1.6
6,2,5,6,7,9,1,1,1,1,1,1,1,1,4,6,5,4,5,5,30,4,3,4,4,4,20,1,5,3,2,4,2,20,1,4,1,2,1,3,1,1,1,1,1,1,1,1,8,5,3.8,10,6,4,5,4,5,5,3,4,4,4,5,3.8,30,20,1,1.2
7,5,5,5,7,7,1,1,1,1,1,1,1,1,2,2,2,2,2,3,30,5,6,4,4,5,50,2,5,5,4,4,2,22,1,6,1,2,1,4,1,1,1,1,1,1,1,1,8,2.2,4.8,20,5,2,6,4,4,5,2,2,2,3,4.8,2.2,50,30,1,2.6
8,3,1,4,10,8,1,1,1,1,1,1,1,1,2,6,4,4,4,4,35,6,3,3,3,3,28,1,7,2,3,3,2,20,1,4,1,1,1,3,1,1,1,1,1,1,1,1,8,4.4,3.6,-7,6,6,3,3,3,3,4,4,4,4,3.6,4.4,28,35,2,-0.8
9,1,6,5,6,7,1,2,1,1,1,1,1,1,1,6,5,5,5,4,60,3,4,4,4,3,30,1,5,2,4,4,2,21,1,3,1,1,1,4,1,0,1,1,1,1,1,1,7,5,3.6,-30,3,6,4,4,4,3,5,5,5,4,3.6,5,30,60,2,-1.4
10,4,2,2,4,6,1,1,2,1,1,1,1,1,2,4,4,5,3,5,666,5,5,5,4,6,40,2,6,2,2,6,1,22,1,4,1,2,1,4,1,1,0,1,1,1,1,1,7,4.2,5,,5,4,5,5,4,6,4,5,3,5,5,4.2,40,,1,0.8
11,2,5,5,6,4,1,1,1,1,1,1,1,1,4,3,2,3,2,2,30,4,4,5,4,5,40,2,5,3,3,2,2,22,1,4,1,2,1,2.5,1,1,1,1,1,1,1,1,8,2.4,4.4,-10,3,4,2,3,2,2,4,5,4,5,2.4,4.4,30,40,2,-2
12,3,2,5,13,6,1,1,1,1,1,1,1,1,1,5,7,7,5,6,20,5,3,4,2,3,15,1,5,3,2,3,2,20,1,4,1,1,1,2.5,1,1,1,1,1,1,1,1,8,6,3.4,-5,5,5,3,4,2,3,7,7,5,6,3.4,6,15,20,2,-2.6
13,3,3,5,14,8,1,1,1,1,1,1,1,1,1,4,6,5,4,6,15,4,2,3,3,4,0,1,4,4,2,4,2,23,1,6,1,1,1,3,1,1,1,1,1,1,1,1,8,5,3.2,-15,4,4,2,3,3,4,6,5,4,6,3.2,5,0,15,2,-1.8
14,5,1,4,13,8,1,1,1,1,1,1,1,1,4,1,1,1,1,1,10,4,5,6,6,7,20,2,3,4,2,2,2,22,1,4,1,2,0,2,1,1,1,1,1,1,1,1,8,1,5.6,-10,1,4,1,1,1,1,5,6,6,7,1,5.6,10,20,2,-4.6
15,4,4,6,12,7,1,1,1,1,1,1,1,1,2,6,5,5,5,6,25,4,4,3,3,4,15,1,6,2,2,2,1,21,1,6,1,1,1,2,1,1,1,1,1,1,1,1,8,5.4,3.6,-10,4,6,4,3,3,4,5,5,5,6,3.6,5.4,15,25,2,-1.8
16,5,1,5,12,6,2,2,2,2,2,2,2,2,2,3,2,2,2,3,10,5,6,6,6,6,20,2,7,2,1,4,1,20,1,2,1,2,0,2.5,0,0,0,0,0,0,0,0,0,2.4,5.8,10,5,3,6,6,6,6,2,2,2,3,5.8,2.4,20,10,1,3.4
17,1,2,3,13,8,2,2,2,1,1,1,1,1,1,2,3,2,3,2,5,4,5,5,4,6,15,2,6,6,2,3,1,22,1,2,1,2,1,2.5,0,0,0,1,1,1,1,1,5,2.4,4.8,10,4,2,5,5,4,6,3,2,3,2,4.8,2.4,15,5,1,2.4
18,1,5,6,12,8,1,2,1,1,1,1,1,1,4,5,5,4,4,5,50,3,1,6,6,2,5,1,6,2,5,4,1,28,1,7,1,1,1,4.5,1,0,1,1,1,1,1,1,7,4.6,3.6,45,5,3,5,4,4,5,1,6,6,2,4.6,3.6,50,5,1,1
19,4,1,4,16,8,1,1,1,1,1,1,1,1,4,4,4,5,3,4,30,5,5,5,4,4,40,1,6,3,4,4,2,20,1,4,1,1,1,4,1,1,1,1,1,1,1,1,8,4,4.6,-10,4,5,4,5,3,4,5,5,4,4,4,4.6,30,40,1,-0.6
