"步骤","检验项","统计量","原研究值","本研究值","PE","评级"
"步骤2","描述性(类别均值) Concrete","Mean",7.9,7.9,0,"完全一致"
"步骤2","描述性(类别SD) Concrete","SD",1.52,1.5183,0.11,"次要偏差"
"步骤2","描述性(整体均值) Concrete","Mean",6.25,6.25,0,"完全一致"
"步骤2","描述性(整体SD) Concrete","SD",1.86,1.8602,0.01,"次要偏差"
"步骤2","描述性(类别均值) Abstract","Mean",6.63,6.625,0.08,"次要偏差"
"步骤2","描述性(类别SD) Abstract","SD",0.96,0.9574,0.27,"次要偏差"
"步骤2","描述性(整体均值) Abstract","Mean",7.69,7.6875,0.03,"次要偏差"
"步骤2","描述性(整体SD) Abstract","SD",1.01,1.0145,0.44,"次要偏差"
"步骤2b","描述性(DV3_Concrete_Aggregated) 均值","Mean",3.77,3.77,0,"完全一致"
"步骤2b","描述性(DV3_Concrete_Aggregated) SD","SD",1.36,1.36,0,"次要偏差"
"步骤2b","描述性(DV3_Concrete_Individualized) 均值","Mean",4.33,4.33,0,"完全一致"
"步骤2b","描述性(DV3_Concrete_Individualized) SD","SD",1.41,1.4087,0.1,"次要偏差"
"步骤2b","描述性(DV3_Abstract_Aggregated) 均值","Mean",5.14,5.1375,0.05,"次要偏差"
"步骤2b","描述性(DV3_Abstract_Aggregated) SD","SD",0.72,0.7182,0.25,"次要偏差"
"步骤2b","描述性(DV3_Abstract_Individualized) 均值","Mean",2.98,2.975,0.17,"次要偏差"
"步骤2b","描述性(DV3_Abstract_Individualized) SD","SD",0.79,0.7895,0.06,"次要偏差"
"步骤3.1","类别广度ANOVA","F(4,90)",2.5,2.5025,0.1,"次要偏差"
"步骤3.1","类别广度ANOVA","p",0.05,0.0478,4.35,"次要偏差"
"步骤3.1","类别广度ANOVA","partial η²",0.1,0.1001,0.09,"次要偏差"
"步骤3.2","t检验(类别)","t",2.73,2.9218,7.03,"次要偏差"
"步骤3.2","t检验(类别)","p",0.008,0.0061,23.19,"因舍入导致的偏差"
"步骤4.1","整体偏好ANOVA","F(4,90)",2.44,2.4407,0.03,"次要偏差"
"步骤4.1","整体偏好ANOVA","p",0.052,0.0525,0.92,"次要偏差"
"步骤4.1","整体偏好ANOVA","partial η²",0.1,0.0979,2.14,"次要偏差"
"步骤4.2","t检验(整体)","t",-2.71,-2.7735,2.34,"次要偏差"
"步骤4.2","t检验(整体)","p",0.008,0.0089,11.74,"因舍入导致的偏差"
"步骤5","信息类型主效应","F(1,90)",3.93,1.733,55.9,"主要偏差"
"步骤5","信息类型主效应","p",0.05,0.15,200,"主要偏差"
"步骤5","评价交互","F(4,90)",3.47,3.466,0.12,"次要偏差"
"步骤5","评价交互","p",0.01,0.011,10,"次要偏差"
"步骤5","评价交互","partial η²",0.13,0.1335,2.68,"次要偏差"
"步骤6","支付意愿交互","F(4,82)",2.68,2.681,0.04,"次要偏差"
"步骤6","支付意愿交互","p",0.04,0.037,7.5,"次要偏差"
"步骤6","支付意愿交互","partial η²",0.12,0.1157,3.62,"次要偏差"
"步骤7","卡方检验","χ²(4)",12.47,12.4699,0,"次要偏差"
"步骤7","卡方检验","p",0.02,0.0142,29.11,"主要偏差"
